epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,112.911,1.8076,1.39376,1.38106,0.42556,0.38889,0.25647,0.08588,2.34665,2.19464,1.78271,0.0175338,0.000533773,0.000533773
43,115.556,1.78318,1.42127,1.33344,0.42556,0.38889,0.25647,0.08588,2.34665,2.19464,1.78271,0.0155339,0.000533886,0.000533886
44,117.082,1.82332,1.6083,1.31667,0.4264,0.44444,0.45237,0.19209,2.13064,1.89762,1.62554,0.0135333,0.000533293,0.000533293
45,122.477,1.91259,1.41653,1.37056,0.4264,0.44444,0.45237,0.19209,2.13064,1.89762,1.62554,0.011532,0.000532001,0.000532001
46,124.293,1.87988,1.36304,1.30485,0.50712,0.5,0.49453,0.209,2.11978,1.83324,1.53185,0.00953002,0.000530016,0.000530016
47,130.88,1.98013,1.41143,1.46138,0.50712,0.5,0.49453,0.209,2.11978,1.83324,1.53185,0.00752735,0.000527347,0.000527347
48,133.491,1.8237,1.37112,1.27603,0.34784,0.61111,0.38718,0.14693,2.18808,1.95274,1.54866,0.005524,0.000524004,0.000524004
49,135.145,1.84442,1.37638,1.30763,0.34784,0.61111,0.38718,0.14693,2.18808,1.95274,1.54866,0.00352,0.000519999,0.000519999
50,136.746,1.72372,1.36105,1.31087,0.29199,0.5,0.32869,0.14169,2.16248,2.39079,1.53486,0.00151534,0.000515343,0.000515343
51,141.337,1.90488,1.39233,1.34854,0.29199,0.5,0.32869,0.14169,2.16248,2.39079,1.53486,0.000505,0.000505,0.000505
52,143.205,1.96802,1.54767,1.46705,0.37851,0.38889,0.3413,0.17912,2.05744,2.20201,1.48393,0.000489452,0.000489452,0.000489452
53,146.442,1.86506,1.46839,1.37871,0.37851,0.38889,0.3413,0.17912,2.05744,2.20201,1.48393,0.000473919,0.000473919,0.000473919
54,148.351,1.89641,1.36325,1.32136,0.37524,0.3678,0.34375,0.1502,2.07885,2.13825,1.52431,0.000458416,0.000458416,0.000458416
55,151.182,1.9533,1.41345,1.34735,0.37524,0.3678,0.34375,0.1502,2.07885,2.13825,1.52431,0.00044296,0.00044296,0.00044296
56,153.559,1.75783,1.30379,1.32872,0.68519,0.38889,0.44598,0.16466,2.09462,1.83839,1.58923,0.000427565,0.000427565,0.000427565
57,155.078,1.98873,1.37033,1.38074,0.68519,0.38889,0.44598,0.16466,2.09462,1.83839,1.58923,0.000412246,0.000412246,0.000412246
58,157.434,1.73408,1.23297,1.32923,0.38148,0.55556,0.35801,0.12958,2.19464,1.87008,1.72449,0.000397019,0.000397019,0.000397019
59,161.612,1.73131,1.29293,1.30631,0.38148,0.55556,0.35801,0.12958,2.19464,1.87008,1.72449,0.000381899,0.000381899,0.000381899
60,163.468,1.72047,1.34407,1.29376,0.37178,0.44444,0.36465,0.14017,2.29401,1.87093,1.79479,0.000366899,0.000366899,0.000366899
61,165.602,1.71389,1.17371,1.32231,0.37178,0.44444,0.36465,0.14017,2.29401,1.87093,1.79479,0.000352037,0.000352037,0.000352037
62,167.134,1.84241,1.28451,1.31161,0.40757,0.53563,0.39784,0.14036,2.26787,1.75761,1.72644,0.000337325,0.000337325,0.000337325
63,168.662,1.62968,1.12847,1.28451,0.40757,0.53563,0.39784,0.14036,2.26787,1.75761,1.72644,0.000322778,0.000322778,0.000322778
64,172.487,1.8284,1.28494,1.28116,0.45159,0.5,0.44029,0.16105,2.20525,1.67412,1.67525,0.000308412,0.000308412,0.000308412
65,174.002,1.54723,1.09468,1.21556,0.45159,0.5,0.44029,0.16105,2.20525,1.67412,1.67525,0.000294239,0.000294239,0.000294239
66,178.005,1.73607,1.40759,1.30498,0.51414,0.41246,0.42617,0.17516,2.17385,1.66735,1.64622,0.000280275,0.000280275,0.000280275
